拼音	词汇一	词汇二	...	词汇n
luoatan	罗阿坦
luquan	鹿泉
guiyang	贵阳
shangrao	上饶
liwupu	利物浦
eguaduoer	厄瓜多尔
weihai	威海
linhe	临河
ruijin	瑞金
aebssm	阿尔卑斯山脉
kyn	卡亚尼
kaiyuan	开原	开远
xianning	咸宁
lbwe	利伯维尔
penglai	蓬莱
menggu	蒙古
xinxilan	新西兰
suolinuo	索里诺
fldwstk	符拉迪沃斯托克
aerjiliya	阿尔及利亚
weinisi	威尼斯
aseby	埃塞俄比亚
xinjiang	新疆
bylsl	北伊柳塞拉
bulundiousi	布伦迪欧斯
asensong	阿森松
haining	海宁
msdk	马斯蒂克
xinxie	新泻
hailun	海伦
baxiliya	巴西利亚
na(xxls)	纽埃(新西兰属)
feijiqundao	斐济群岛
buladisilafa	布拉迪斯拉发
aidemengdun	埃德蒙顿
baxi	巴西
moputi	莫普提
beierqi	贝尔齐
kxc	科西策
alty	阿鲁图亚
mldw	穆隆达瓦
xilinhaote	锡林浩特
hunchun	珲春
andelusidao	安得鲁斯岛
kwt	科威特
jineiya	几内亚
beilayela	贝拉耶拉
jiaozuo	焦作
aleijipa	阿雷基帕
alsy	阿拉善右
kataer	卡塔尔
chaoxian	朝鲜
basike	巴斯克
xiangshan	象山
alsm	阿拉善盟
eeds	鄂尔多斯
lpn	蓝毗尼
lps	六盘水
tazi	塔兹
aksm	阿克苏姆
kqbb	科恰班巴
smeh	撒马尔罕
lblb	朗勃拉邦	琅勃拉邦
dirong	第戎
baieluosi	白俄罗斯
eerduosi	鄂尔多斯
pingyao	平遥
lbln	兰巴雷内
pizhou	邳州
helutefangdan	赫鲁特方丹
secb	萨尔茨堡
khmek	卡哈马尔卡
mengbasa	蒙巴萨
nantong	南通
aishaerdeng	埃沙尔登
fenghua	奉化
xkldny	新喀里多尼亚
alaguayina	阿拉瓜依纳
abuleiaoyuesi	阿布雷奥约斯
damashige	大马士革
jieke	捷克
balanjiya	巴兰基亚
badewang	巴德望
cmt	策马特
lnk	拉纳卡
laixi	莱西
alabolianheqiuzhangguo	阿拉伯联合酋长国
basailuonei	巴塞罗那
qianye	千叶
aepek	阿尔普尔科
anuhadaodujiashengdi	阿努哈岛度假胜地
saierweiya	塞尔维亚
shengzhou	嵊州
daxidi	大溪地
yumen	玉门
lnt	琅南塔
houma	侯马
lmn	里米尼
ganbierdao	甘比尔岛
leqing	乐清
aboding	阿伯丁
lml	罗梅利
aebny	阿尔巴尼亚
lmd	龙目岛
slmqd	所罗门群岛
lmz	拉穆镇
actp	阿楚图珀
siluowenniya	斯洛文尼亚
kanpala	坎帕拉
luofanniemi	罗凡涅米
fdyslt	芬达依斯利塔
kayani	卡亚尼
askshm	奥斯卡斯哈门
malindi	马林迪
dongguan	东莞
ltw	立陶宛
jifu	基辅
bulankagang	布兰卡港
bujiasi	布加斯
tjtbd	汤加塔布岛
bqbl	布琼布拉
fengcheng	丰城	凤城
anshan	鞍山
flxsd	弗朗西斯敦
shangding	上丁
lsj	冷水江	洛杉机	洛杉矶
eegn	额尔古纳
buhala	布哈拉
lsk	卢萨卡
tengzhou	滕州
zunyi	遵义
tianshui	天水
lst	莱索托	莱斯特
bentuotahe	本托塔河
lsw	拉塞瓦
laiwu	莱芜
boduonuofu	波多诺伏
yongan	永安
kuerle	库尔勒
alashan	阿拉善
guadeluopufa	瓜德罗普（法）
gaocheng	藁城
ltd	罗塔岛	鹿特丹
libiya	利比亚
qufu	曲阜
saerdao	萨尔岛
lse	卢塞恩
lsd	吕宋岛
lsc	绿山城
beiningcheng	贝宁城
lsb	卢森堡	里斯本
tumushuke	图木舒克
lzdsd	列支敦士登
bohemudao	波荷木岛
jieer	杰尔
riben	日本
yueke	约克
jier	基尔
lbly	利比里亚
moerduowa	摩尔多瓦
adwls	安达韦拉斯
yuci	榆次
shengduomeijipulinxibi	圣多美及普林西比
jifa	基法
dbhmd	大巴哈马岛
manixijiqundao	马尼希基群岛
luotuoluya	罗托鲁亚
xinkaliduoniya	新喀里多尼亚
bamiyang	巴米扬
lishui	丽水
fulidun	弗里敦
lhe	拉合尔
bominghan	伯明翰
lhk	老河口
tongbutu	通布图
hawanei	哈瓦那
mufuwei	姆富韦
lgs	拉各斯
jinzhong	晋中
weihui	卫辉
bjly	保加利亚
aerkaleike	阿尔卡雷克
smld	圣玛丽岛
aebhl	阿尔拜赫雷
weiyuebao	维约堡
kapa	库奥皮奥
beiertua	贝尔图阿
annaba	安纳巴
smlk	上莫洛奎
atghbbd	安提瓜和巴布达
zhongxiang	钟祥
bjle	班加罗尔
smln	圣马力诺
abmmhj	阿贝马马环礁
aglnw	阿格里尼翁
dlbt	迪拉伯土
lfy	老佛爷
smdld	苏门答腊岛
haiya	海牙
yemen	也门
mosike	莫斯科
dlbl	的黎波里
kashan	喀山
shawannaji	沙湾拿吉
haixi	海西
aoerdao	奥尔岛
lfb	拉夫堡
posi	珀斯
lingwu	灵武
ceb	查尔巴
beiermeihuo	贝尔梅霍
bali	巴黎
bocheng	博城
blstg	巴勒斯坦国
fjqd	斐济群岛
nansha	南沙
xteb	新天鹅堡
bayanhonggeer	巴颜洪格尔
baku	巴库
dongjing	东京
kalakesigang	卡拉克斯港
moerben	墨尔本
jiaerdahupan	加尔达湖畔
kjlh	克久拉霍
jingwangang	鲸湾港
maertadao	马耳他岛
shishi	石狮
xinchang	新昌
walaita	瓦莱塔
mcst	曼彻斯特
gejiu	个旧
bulantaier	布兰太尔
cgf	楚格峰
halaerlin	哈拉尔林
llg	利隆圭
addb	阿德达巴
waduzi	瓦杜兹
aebmq	阿尔巴明契
duala	杜阿拉
aneike	阿那科
ksblk	卡萨布兰卡
lks	卢克索
mstd	姆斯特丹
albh	阿鲁巴（荷）
mste	莫斯塔尔
guangzhou	广州	光州
lkw	兰卡威
daxian	达县
aerjier	阿尔及尔
zigong	自贡
jiducheng	基督城
albb	奥林波堡
bael	北爱尔兰
yongcheng	永城
ageliniweng	阿格里尼翁
aoxiyeke	奥西耶克
kesilei	科斯雷
bishenkaike	比什凯克
chongzhou	崇州
ljn	里加纳	卢加诺
guigang	贵港
aejly	阿尔及利亚
luotuoluwa	罗托鲁瓦
basaier	巴塞尔
daxinganling	大兴安岭
xbdq	西部地区
maqiubiqiu	马丘比丘
dybke	迪亚巴克尔
qingzhen	清镇
aishaniya	爱沙尼亚
suizhou	随州
alds	阿兰迪斯
jiadameisilaocheng	加达梅斯老城
jimo	即墨
kamagui	卡马圭
dexing	德兴
dlsslm	达累斯萨拉姆
kelaimeng	克莱蒙
wanning	万宁
jiademandou	加德满都
geft	戈尔菲托
adec	安道尔城
jinggangshan	井冈山
luosuo	罗索
maermo	马尔默
mkns	梅克内斯
ylsd	亚历山大	易路斯岛
hnsb	翰尼斯堡
ylsl	耶路撒冷
aluowei	阿洛维
yilake	伊拉克
manisalaisi	马尼萨莱斯
xbehyq	新巴尔虎右旗
yalun	亚伦
baise	百色
liuan	六安
mtle	蒙特利尔
shalaoyue	沙捞越
shuangliao	双辽
latuoweiya	拉脱维亚
beianpudun	北安普顿
xianyang	咸阳
leiyang	耒阳
slrw	萨拉热窝
shengmalinuoshi	圣马力诺市
tkshkksqd	特克斯和凯科斯群岛
baleila	巴雷拉
qinghe	清河
xingping	兴平
binzhou	滨州
yuanping	原平
mad	马埃岛
adijiasi	阿蒂加斯
aiyin	艾因
kemoduo	科摩多
mas	马鞍山
aletai	阿勒泰
mam	迈阿密
meiguigang	玫瑰港
tamalinde	塔马林德
ataoluo	阿陶罗
fenyang	汾阳
tieli	铁力
tianningdao	天宁岛
bidegeshen	比德哥什
mbs	蒙巴萨
beimaliyanamei	北马里亚纳（美）
yilang	伊朗
zhijiage	芝加哥
pafusi	帕福斯
huolinguole	霍林郭勒
qitaihe	七台河
akulei	阿库雷
enhaijia	恩海岬
atfjst	安托法加斯塔
buernuo	布尔诺
kksqd	科科斯群岛
huaihua	怀化
jieshou	界首
daan	大安
mdd	民丹岛
lianyuan	涟源
swly	塞维利亚
bulaide	布莱德
kelaipeida	克莱佩达
adjs	阿蒂加斯
beitu	贝图
muzuzu	姆祖祖
awasa	阿瓦萨
deguo	德国
fujian	福建
zaoyang	枣阳
kashen	喀什
tajikesitan	塔吉克斯坦
mds	马当市
mdj	牡丹江
mdn	麦地纳
aodesa	敖德萨
mdl	麦德林	曼德勒	马德里
edl	恩多拉
telaweifu	特拉维夫
musitedan	姆斯特丹
chishui	赤水
cenxi	岑溪
weierniusi	维尔纽斯
meb	墨尔本
mandele	曼德勒
tjkj	提吉克贾
madelaqundao	马德拉群岛
bulisiban	布里斯班
met	马耳他
zhangle	长乐
bhmd	波荷木岛
datong	大同
xl-wgk	暹粒-吴哥窟
kaerxi	卡尔希
mem	马尔默
adle	阿德拉尔
adld	阿德莱德
mswejqd	美属维尔京群岛
edp	恩德培
hongjiang	洪江
anuladepule	阿努拉德普勒
yhnsbs	约翰内斯堡市
meishuweierjingqundao	美属维尔京群岛
yajiada	雅加达
siweishilan	斯威士兰
suifenhe	绥芬河
mfw	姆富韦
zaozhuang	枣庄
neiqu	那曲
adly	澳大利亚
zunhua	遵化
kunshan	昆山
gaoyou	高邮
admd	埃德蒙顿
yangguang	仰光
asitelasaitela	阿斯特拉赛特拉
debulesen	德布勒森
aidemite	埃德米特
mengmai	孟买
gemashi	戈马市
xinmi	新密
bishao	比绍
kehetelayaerwei	科赫特拉亚尔韦
jiangmen	江门
sagelebu	萨格勒布
hengyang	衡阳
mednd	马尔多纳多
tzg	太子港
slxy	圣卢西亚
admt	埃德米特
ruishi	瑞士
weisa	韦萨
keluodiya	克罗地亚
zhangqixian	长崎县
tzs	天柱山
dxd	大溪地
xinle	新乐
lwd	卢旺达
lwf	利沃夫
tze	托泽尔
heijiao	黑角
antiman	安提曼
dwt	蒂瓦特
fuyang	富阳	阜阳
adns	安德内斯
mbbn	姆巴巴内
mbdk	姆班达卡
dwd	达维德
lxj	利辛加
wendeng	文登
anning	安宁
shaowu	邵武
haisaibu	海塞卜
lwp	利物浦
zhaerka	扎尔卡
zhangye	张掖
ampl	阿姆帕拉
tianjin	天津
babuyaxinjineiya	巴布亚新几内亚
gangcha	刚察
lyd	利雅得
lincang	临沧
swnj	沙湾拿吉
jiasha	加沙
lyk	里耶卡
lnw(fs)	留尼汪(法属)
lyg	连云港	路易港
xinji	辛集
aisitejiaocheng	埃斯特角城
malakashen	马拉喀什
lxs	罗先市
meishuyuehansidun	美属约翰斯顿
tuokelaoxin	托克劳（新）
sanya	三亚
gelujiya	格鲁吉亚
lzh	绿中海
boshidun	波士顿
haikou	海口
rugao	如皋
yisitanbao	伊斯坦堡
yelusaleng	耶路撒冷
palijier	帕利基尔
shengdiyagedao	圣地亚哥岛
swst	圣维森特	圣文森特
bynsals	布宜诺斯艾利斯
mianlanlao	棉兰老
bjfydeystl	博加福约杜尔－伊斯特里
lasa	拉萨
kaifeng	开封
mtgb	蒙特哥贝
weilankulushen	维兰库卢什
haidi	海地
jizhoudao	济州岛
shengqiaozhi	圣乔治
huixian	辉县
zhangqi	长崎
chaoyang	朝阳
yingguo	英国
xiaosong	小松
bogai	博盖
beilu	贝鲁
yongji	永济
tyc	太阳城
shaba	莎巴	沙巴
guandao	关岛
beipa	北帕
wanyuan	万源
boluotao	博洛陶
boerduo	波尔多
aneidiwumu(dao)	阿内蒂乌姆(岛)
buqiongbula	布琼布拉
hanbao	汉堡
atly	安塔利亚
maerta	马耳他
tonghua	通化
dilanei	地拉那
nankang	南康
shashibiyaguju	莎士比亚故居
caiermate	采尔马特
alaoka	阿劳卡
hegang	鹤岗
baercesi	巴尔策斯
wdmlc	危地马拉城
dzl	丹兹利
masailu	马塞卢
swsl	斯威士兰
twl	图瓦卢
chenzhou	郴州
nanjing	南京
kaerkasong	卡尔卡松
haifa	海法
taite	太特
aoerta	奥尔塔
xingan	兴安
beini	贝尼
balisaer	巴里萨尔
taian	泰安
yunfu	云浮
kaili	凯里
xlht	锡林浩特
mpt	马普托	莫普提
adwd	阿蒂乌岛
shenzhou	深州
weiduoliyadapubu	维多利亚大瀑布
azhiman	阿治曼
yongkang	永康
wuxue	武穴
longyou	龙游
aleinasijiao	阿雷纳斯角
faluola	发罗拉
abirang	阿比让
adelaer	阿德拉尔
afolei	阿佛雷
lyrnl	里约热内卢
dql	大其力
wumugai	乌姆盖
maoming	茂名
yading	亚丁
baermasaida	巴尔马塞达
fuladiwosituoke	符拉迪沃斯托克
shaen	沙恩
tsg	塔什干
taiwanluyou	台湾旅游
otls	噢特莱斯
shaoshan	韶山
dnd	但尼丁	达尼丁
beining	贝宁	北宁
pulaya	普拉亚
nujiang	怒江
mse	摩苏尔
msc	麦孙城
mqd	马其顿
weidimalacheng	危地马拉城
saisheerqundao	塞舌尔群岛
slbb	塞勒巴比
yuenan	越南
gelanada	格拉纳达
yierkucike	伊尔库茨克
dinieboluobideluofusike	第聂伯罗彼得罗夫斯克
zhaodong	肇东
mqn	曼齐尼
luohe	漯河
wugang	武冈	舞钢
boluobennisabandao	波罗奔尼萨半岛
gangguo(jin)	刚果(金)
fashubolinixiya	法属波利尼西亚
luoha	洛哈
tme	泰美尔
xshl	西撒哈拉
baerdailei	巴尔代雷
mtl	蒙特雷	蒙特勒
dsq	大石桥
tlz	图卢兹
nkse	纽卡斯尔
mtg	蒙特港
xilinguole	锡林郭勒
beihengaopuzuomu	贝亨奥普佐姆
sipulite	斯普利特
abotabade	阿伯塔巴德
aoyemu	奥耶姆
tnd	天宁岛
msk	莫斯科	明斯克
msl	马塞卢
atwp	安特卫普
lsln	拉塞雷纳
aw(d)	埃瓦(岛)
tekesihekaikesiqundaoying	特克斯和凯科斯群岛（英）
mtd	马塔迪
shahe	沙河
aheqi	阿合奇
bikaneier	比卡内尔
weige	维哥
tns	突尼斯
jiaergeda	加尔各答
zhumadian	驻马店
mnste	莫纳斯提尔
cemt	采尔马特
jnlqd	加那利群岛
bafusamu	巴富萨姆
bbdwls	博博迪乌拉索
biyawenke	比亚文克
kmqd(ys)	开曼群岛(英属)
deerzuer	德尔祖尔
zhangping	漳平
aolinbobao	奥林波堡
yajiadeer	亚加的尔
lsla	罗萨里奥
guba	古巴
jianpuzhai	柬埔寨
jialalabade	贾拉拉巴德
cdjny	赤道几内亚
slfk	斯洛伐克
qinghai	青海
batuna	巴图纳
wuyuan	婺源
jilidao	基利岛
tpl	坦佩雷
kaduna	卡杜纳
maolitaniya	毛里塔尼亚
anbatuo	安巴托
dsb	杜尚别
peme	帕尔马尔
gulayate	古拉亚特
suofeiya	索非亚
dgw	东戈瓦
anqiu	安丘
mhk	梅河口
yidali	意大利
aman	阿曼
awani	阿瓦尼
engeluoengeluo	恩戈罗恩戈罗
moluoni	莫罗尼
kaita	凯塔
agl(ys)	安圭拉(英属)
dgl	当果拉
mhd	曼哈顿
alnsj	阿雷纳斯角
anhddjsd	阿努哈岛度假胜地
xixiadaxiagu	西峡（大峡谷）
yangzhong	扬中
shengmading	圣马丁
xsbn	西双版纳
nkxy	尼科西亚
mudanjiang	牡丹江
zhijiang	枝江
qingmai	清迈
mgw	名古屋
zhangjiagang	张家港
sanei	萨那
qianan	迁安
bedfs	巴尔杜福斯
mgg	玫瑰港
hexj	赫尔辛基
dhl	德黑兰	达赫拉
aeby	奥尔波依
zhangge	长葛
dala	达拉
mengjialaguo	孟加拉国
bilishi	比利时
duominijiagongheguo	多米尼加共和国
aebn	阿尔比纳
dali	大理
mlywqc	玛丽亚温泉城
aebh	阿尔巴哈
aebk	阿尔布克
ymny	亚美尼亚
shengmalidao	圣玛丽岛
tkd	塔克岛
luzhou	泸州
mjl	孟加拉
pengba	彭巴
daka	达卡
biletuoliya	比勒陀利亚
malei	马累
xisahala	西撒哈拉
lingbao	灵宝
gangbiya	冈比亚
alepo	阿勒颇
sanhe	三河
ailigandi	埃里甘地
eluosi	俄罗斯
aershan	阿尔山
tlw	塔拉瓦
nanpula	楠普拉
hnyl	霍尼亚拉
aeak	艾尔奥克
guizhou	贵州
bujialesite	布加勒斯特
kaneiluoneisi	卡内洛内斯
tlf	吐鲁番
agkll	阿瓜克拉拉
ayakuqiaogang	阿亚库乔港
tld	托莱多
heze	菏泽
dld	多伦多	东伦敦
mlw	马拉维
tek	图尔库
gaodang	高当
teb	天鹅堡
mlr	马兰热
mll	棉兰老
qingyang	庆阳
liyuereneilu	里约热内卢
mln	莫罗尼
boernienkongni	伯尔尼恩孔尼
mlg	摩洛哥
beifangcheng	北方城
mlj	马六甲
mld	马林迪
liupanshui	六盘水
dongjiadapu	东加大埔
huozhou	霍州
mla	马鲁阿
jidila	基蒂拉
mlb	马里博	马拉博
xinyu	新余
sifakesi	斯法克斯
bodunwude	伯顿伍德
xichang	西昌
slla	塞拉利昂
linjiang	临江
sanming	三明
mkl	木卡拉
xinyi	信宜	新沂
dls	都拉斯
monasitier	莫纳斯提尔
dln	地拉那
mkd	毛凯岛
endekahan	恩德卡汗
tet	塔尔图
sllk	斯里兰卡
dlh	德令哈
teq	土耳其
ltnjl	腊塔纳基里
moluoge	摩洛哥
linzhou	林州
dje	丹吉尔
ketelaike	科特赖克
mns	玛瑙斯
patelei	帕特雷
kejiulahuo	克久拉霍
yilusidao	易路斯岛
wuzibiekesitan	乌兹别克斯坦
tukumansitan	土库曼斯坦
mnl	马尼拉
zhaotong	昭通
mnm	麦纳麦
xlgl	锡林郭勒
basongge	巴松戈
beilanadao	贝拉纳岛
yizimier	伊兹密尔
klykd	卡里亚库岛
mng	摩纳哥	马那瓜
mnh	慕尼黑
huanghua	黄骅
mukala	木卡拉
dke	达喀尔
akqbsk	阿克秋宾斯克
djy	都江堰
taimeier	泰美尔
sdmg	圣多明各
bumixiersi	布米希尔斯
sdml	萨杜马勒
ytlk	因特拉肯
jurong	句容
yangchun	阳春
verona	verona	verona
huhehaote	呼和浩特
meiguo	美国
slnk	萨洛尼卡
duominike	多米尼克
djk	丹江口
